V_x,V_y,V_z,V_I,V_r,V_g,V_b,V_var_I,V_var_r,V_var_g,V_var_b,V_nx,V_ny,V_nz
-0.9468626379966736,-8.838025093078613,-1.3484773635864258,-911.2808454914436,118.02179204146556,118.40299679135586,121.32597219175076,48902.5256690775,4896.746199039434,4804.574874105553,4763.755742170458,-0.1629423498162712,0.3776736796300081,0.9114891016085065
-16.79605484008789,-60.759033203125,-0.9508563280105591,-662.0872662511131,225.68269516176906,229.25853368952212,234.57850994360345,1178745.3077030054,2043.5426962968916,1727.6525585381312,1170.0853575177903,0.9964930211956045,-0.07623852136408998,-0.03448690430691464
-2.092731237411499,-9.544808387756348,-1.3899781703948975,-1108.7854094094093,126.41363763763763,127.43698898898899,130.14653053053053,16910.53574495847,4739.290511836756,4796.163772665726,5012.677136828742,-0.3617532041961131,0.17624526053492184,0.9154628487234329
-0.35236847400665283,-10.687746047973633,-0.3556833267211914,-1061.1138438406185,109.40929008699388,106.98249382450865,107.25467726345182,97222.11074391617,4714.745635374396,4638.326729585045,4633.77046083678,-0.404049918530395,0.7347068841797735,0.5449306907070199
-13.6697998046875,-95.8114013671875,-0.957833468914032,-1371.4933475252794,124.06599254922831,125.19265566790847,130.61362426822777,24863.491835380224,6344.215024986099,6448.399498747719,6073.555639626589,0.14889388223950875,0.9880874290508085,-0.03890815317400187
-11.284733772277832,-45.72972106933594,-1.858323335647583,-1292.334323922734,172.38707280832094,180.97325408618127,191.2407132243685,3686.233125825108,375.47162458502964,407.5903621911542,443.036437855245,0.03902246435741474,-0.009617243981929868,0.9991920515564894
-15.640621185302734,-95.06012725830078,-0.5661478042602539,-1311.802672955975,214.21226415094338,214.09329140461216,216.22903563941298,18692.717277257103,5867.942874452879,6107.443456948875,5773.8893375756625,0.23961616604869895,0.9463648838025288,-0.21674316522914389
-19.52443504333496,-89.21395111083984,-0.5858353972434998,-1347.860600193611,89.78334946757019,87.84743465634075,90.26679574056148,70816.82913093327,2554.8455786317218,2492.5824512992244,2576.680549083948,0.49984192516799264,0.8151146571325489,0.2928244278950147
-2.453087329864502,-10.840372085571289,-1.300680160522461,-1130.0462432314928,86.87407612347339,89.13465870914193,91.05244851982135,19656.94766385056,3980.5434310881183,4314.996530346954,4440.943138372103,-0.43499558074085093,0.12206169380121945,0.8921209489986812
-5.850863456726074,-26.302433013916016,-1.7628058195114136,-1166.679980436909,192.5322791000978,200.23540919465276,206.6300945549397,3275.3231373875187,356.12442666528295,399.64227443713054,484.8918448630618,0.041918737078726905,0.0022744111739506634,0.9991184346890695
-1.8797448873519897,-10.5574369430542,-0.7239753603935242,-1139.3529456509336,81.78134864792911,80.56239303236603,81.37412999657704,9134.715984495637,2670.9167797572245,2774.3268254309446,3029.4306512712483,-0.6228048221048422,0.20415918463417893,0.7552702700970451
-3.633535623550415,-14.32530403137207,-1.6775926351547241,-1135.6860980337856,167.05005538631957,171.52713929659373,177.55386319579063,6068.165115868253,706.7224821682262,758.890837180346,780.6906525260455,0.019465840585887316,-0.02350383339528435,0.9995342169560837
-15.311029434204102,-70.12567901611328,-1.783090591430664,-1540.9195979899498,66.50251256281408,64.69346733668341,63.78894472361809,8256.34703822141,2062.5239835541342,1892.0520278158472,1316.611796355515,0.9913025368671016,-0.13111032914441384,-0.011373741358604486
-2.757314443588257,-22.092580795288086,-0.5095880031585693,-1198.8620100229207,89.99856260440542,83.14941144477682,82.21545394506818,10542.518720264234,785.3848075686233,695.0699830451978,672.4239740645164,0.6206843335720217,0.7840604658522348,-0.0003794019399127428
-5.411931991577148,-21.781824111938477,-1.7450482845306396,-1143.1752424415288,185.80456360524815,192.32846548773531,198.19349686252139,4480.909724738682,229.8649266836821,290.05834640127915,399.13895816079,0.03088963380083043,-0.010949206339825324,0.9994628284254389
-3.836576223373413,-15.676009178161621,-1.694881558418274,-1135.1071631071632,175.520979020979,180.50548100548102,186.1942921942922,5039.083118517766,203.36006451728028,274.34261242809583,327.4811960352079,0.027218326211152007,-0.014203491128276513,0.9995286006703521
